"DAFTAR INVENTARIS PERALATAN MEDIS DAN NON MEDIS  PROPINSI UNIT SATUAN KERJA RUANGAN NO ","NAMA BARANG/JENIS BARANG ",": JAWA TIMUR : DINAS KESEHATAN PENGENDALIAN PENDUDUK DAN KB : PUSKESMAS BARUHARJO : GUDANG BMHP ","MERK / MODEL ","NO SERI PABRIK "," BAHAN  ","PEMERINTAH KABUPATEN TRENGGALEK DINAS KESEHATAN PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA  PUSKESMAS BARUHARJO Jl. Raya Desa Baruharjo Telp. (0355) 879630 Email : puskesmasbaruharjo@gmail.com
 TRENGGALEK 66381  TAHUN PEMBUATAN / PEMBELIAN  ","NO. KODE BARANG ","JUMLAH BARANG ","HARGA BELI / PEROLEHAN PER UNIT ","KEADAAN BARANG BAIK (B)","KURANG BAIK (KB)","RUSAK BERAT (RB)","KET. ","OK ","","","","","","","","","","",""
"1","2","","3","4","5","6","7","8","9","10","11","12","13","","","","","","","","","","","",""
"1","Rak Kayu","","",""," Kayu ","2017","1.3.2.05.01.04.004","1","  2.583.000 ","√","","","","","","","","","","","","","","",""
"2","Rak Kayu","","",""," Kayu ","2019","1.3.2.05.01.04.004","5","  2.095.000 ","√","","","","","","","","","","","","","","",""
"3","Trolley Barang","","",""," Besi ","2019","1.3.2.05.02.06.079","1","  990.000 ","√","","","","","","","","","","","","","","",""
"4","Meja Tulis","","",""," Kayu ","","1.3.2.05.02.01.002","1","","√","","","","","","","","","","","","","","",""
"5","Kursi ","","",""," Campuran  ","","1.3.2.05.02.01.003","1","","√","","","","","","","","","","","","","","",""
"6","Almari","","",""," Kayu ","","1.3.2.04.01.04.005","1","","√","","","","","","","","","","","","","","",""
"7","Kursi Tunggu","","",""," Kayu ","","1.3.2.05.02.01.003","1","","√","","","","","","","","","","","","","","",""
"","","","","","","","","","","","Trenggalek, 12 Januari 2026","","","","","","","","","","","","","",""
"","","","","","","","","","",""," Penanggung Jawab  Ruangan ","","","","","","","","","","","","","",""
"","","","","","","","","","","","VINDA DIAN SAPUTRA S.Farm","","","","","","","","","","","","","",""
"","","","","","","","","","",""," NIP. 19850520 200903 1 007 ","","","","","","","","","","","","","",""
